,ID,Tweet,Affect Dimension,Intensity Class,tweet_desc
52,2017-En-40771,"Please bear with me, I'm not Twitter savvy😝 in real life I'm a Facebook person. Help me gain followers 🤓 #blog #selfhelp ",valence,0: neutral or mixed emotional state can be inferred,please bear iam not twitter savvy real life iam facebook person help gain follower
53,2017-En-20593,And here we go again 😓 ,valence,-2: moderately negative emotional state can be inferred,go
54,2017-En-30100,I found #marmite in Australia. `:) #happy,valence,3: very positive emotional state can be inferred,find australia
55,2017-En-30611,Misery loves company. The church ought to be a place where it finds none.\n-Pastor Kris Theobald #joy #rejoice,valence,1: slightly positive emotional state can be inferred,misery love company church ought place find none n pastor kris theobald
56,2017-En-21527,"Does this blow your mind as much as it blew mine, or did I just sexually harass someone? #WHOA #Mindblown #huh #setback #fright #madashell 😂",valence,2: moderately positive emotional state can be inferred,blow mind much blow mine sexually harass someone
57,2017-En-10199,@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits,valence,-2: moderately negative emotional state can be inferred,bad temperament
58,2017-En-30535,@TheNotoriousMMA looking like @MIckeyRourkeFP in his heyday,valence,0: neutral or mixed emotional state can be inferred,look like heyday
59,2017-En-30739,"@blackeyed_susie They ain't going away, and I don't want to see them hurt; changing hearts/minds is really our only option, no? ",valence,-2: moderately negative emotional state can be inferred,ainot go away donot want see hurt change heart mind really option no
60,2017-En-30502,i'm doing laundry and watching that 70's show with a bunch of strangers.  #birthday #to #me,valence,0: neutral or mixed emotional state can be inferred,iam laundry watch show bunch stranger
61,2017-En-31249,that's my breezy breezy breezy that's my breezy that's my buzzinnnnnn.,valence,1: slightly positive emotional state can be inferred,breezy breezy breezy breezy buzzinnnnnn
62,2017-En-31557,never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*,valence,0: neutral or mixed emotional state can be inferred,never decision gt lt never make happy kiss
63,2017-En-20042,@danisnotonfire you made me cry and shake to the point where my parents had to calm me down and give me calming tablets...,valence,-3: very negative emotional state can be inferred,make cry shake point parent calm give calm tablet
64,2017-En-31117,A delight to be at the Lane tonight and witness the debuts of some young talent that could be the backbone of our club!! #COYS,valence,3: very positive emotional state can be inferred,delight lane tonight witness debut young talent could backbone club
65,2017-En-20199,I can never find the exact #emoji that I'm after at the exact moment that I need it #panic,valence,-2: moderately negative emotional state can be inferred,never find exact iam exact moment need
66,2017-En-30063,"@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now.",valence,3: very positive emotional state can be inferred,ah get work much rejoicing lol thanks get taht
67,2017-En-10138,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 !!!!,valence,-2: moderately negative emotional state can be inferred,wake say tried change nappy
68,2017-En-10716,Praying for the #Lord to keep #anger #hate #jealousy away from your heart is a sign of #maturity #conciseness,valence,-1: slightly negative emotional state can be inferred,pray keep away heart sign
69,2017-En-40639,Never let me see you frown,valence,-1: slightly negative emotional state can be inferred,never let see frown
70,2017-En-40116,"@GoPro your UX online is appalling! No clear save button, not being able to use any generic TLD's #unhappy",valence,-3: very negative emotional state can be inferred,ux online appal no clear save button not able use generic tld
71,2017-En-31207,@alicereidy more of a hearty Italian man myself,valence,0: neutral or mixed emotional state can be inferred,hearty italian man
72,2017-En-21895,@amychozick @jswatz Not a word about terrorism.,valence,0: neutral or mixed emotional state can be inferred,not word terrorism
73,2017-En-30810,@MaxVenator We've had no foreign policy but have had goofy Secretary of State John Kerry with his devil may care pose and jaunty blue scarf.,valence,0: neutral or mixed emotional state can be inferred,wehave no foreign policy goofy secretary state john kerry devil may care pose jaunty blue scarf
74,2017-En-40758,Very long day. Thank goodness for Bake Off to brighten up a weary Wednesday ☺ #GBBO,valence,0: neutral or mixed emotional state can be inferred,long day thank goodness bake brighten weary wednesday
75,2017-En-30021,"When you wake up from a dream laughing at something stupid, and that makes you laugh more #hilarious",valence,3: very positive emotional state can be inferred,wake dream laugh something stupid make laugh
76,2017-En-20518,Hope was an instinct only the reasoning human mind could kill. An animal never knew despair.,valence,-1: slightly negative emotional state can be inferred,hope instinct reason human mind could kill animal never know despair
77,2017-En-11107,@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,valence,-3: very negative emotional state can be inferred,king insult intelligence black community people think
78,2017-En-30998,@FilthyFrank My first time watching your vids and i died of laughter. Keep this up dude,valence,3: very positive emotional state can be inferred,first time watch vids die laughter keep dude
79,2017-En-30725,"@Spacekatgal @outmagazine Its okay to be trans just rejoice with the trans in the trans way. By the way it's not your business, so why care?",valence,0: neutral or mixed emotional state can be inferred,okay trans rejoice trans trans way way not business care
80,2017-En-21875,Omg I actually thought she was going to jump.  #SouthPark20 #southpark,valence,-2: moderately negative emotional state can be inferred,omg actually think go jump
81,2017-En-30068,"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty",valence,3: very positive emotional state can be inferred,glad see youare fun sun water sport always fun challenge exhilarate
82,2017-En-41505,This whole #VanRE + extradition might turn into a Pandora's box. JT has no idea about that murky corrupt guanxi in China; Toad vs Dada ;-),valence,-2: moderately negative emotional state can be inferred,whole extradition might turn pandora box jt no idea murky corrupt guanxi china toad v dada wink
83,2017-En-21858,Body is sleepy but the mind is active. So sad... Have to get ready for work in 30 minutes. Damn! #restless,valence,-3: very negative emotional state can be inferred,body sleepy mind active sad get ready work minute damn
84,2017-En-31388,The LORD your God is in your midst—a warrior bringing victory. He will create calm with his love; he will rejoice over you with singing.,valence,1: slightly positive emotional state can be inferred,lord god midst warrior bringing victory create calm love rejoice sing
85,2017-En-30198,"#personaldevelopment\n\nToday is a gift, that's why it's called the present... #happiness #optimism #entrepreneur #personaldevelopment …",valence,3: very positive emotional state can be inferred,n ntoday gift call present
86,2017-En-31169,Nice Idea collect all relevant socialmedia in one-But dont be automatic pls #worldsapp ⬅️ #chirp #appsworld #socialmedia @DanielFeuer merci🎈,valence,0: neutral or mixed emotional state can be inferred,nice idea collect relevant socialmedia one dont automatic pls merci
87,2017-En-21318,I can never find the exact #emoji that I'm after at the exact moment that I need it #nuclear #missiles.\n\n#IndianArmy ,valence,-2: moderately negative emotional state can be inferred,never find exact iam exact moment need n n
88,2017-En-10460,Brendan Rodgers looks fuming 😭,valence,-2: moderately negative emotional state can be inferred,brendan rodgers look fume
89,2017-En-22193,@GOtvNg CN seems like you only appreciate good reviews. No apologies to my concern years ago.,valence,-2: moderately negative emotional state can be inferred,cn seem like appreciate good review no apology concern year ago
90,2017-En-30117,My friend just messaged me 'ugh I'm so hungry I can't wait for breakfast' #socialmedia #WineWednesday #hilarious #funny #laughing #happy,valence,3: very positive emotional state can be inferred,friend message ugh iam hungry cannot wait breakfast
91,2017-En-30189,I am always ready to #smile.,valence,2: moderately positive emotional state can be inferred,always ready
92,2017-En-10379,"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.",valence,-2: moderately negative emotional state can be inferred,time man get pay throw temper tantrum speak gotta listen
93,2017-En-10355,@PuseLepuru it's the irritation of not having found the corpse,valence,-3: very negative emotional state can be inferred,irritation not find corpse
94,2017-En-31552,Like I said ➡ there's plenty of cheddar in the cheese to go around! For everyone. ☺ #smile,valence,2: moderately positive emotional state can be inferred,like say plenty cheddar cheese go around everyone
95,2017-En-41183,@RobertWesley3 I'm #mad that my brother is #sad ! Feel better bub!,valence,-2: moderately negative emotional state can be inferred,iam brother feel better bub
96,2017-En-30767,@ClvlndK8 It's so sad! There's always such optimism with a new year. This is...not good. @BuckshotBandit1 @dapostrophearcy,valence,-2: moderately negative emotional state can be inferred,sad always optimism new year not good
97,2017-En-30933,one thing I can say is that you kept me smiling,valence,3: very positive emotional state can be inferred,one thing say keep smile
98,2017-En-30269,It's meant to be!!  ,valence,0: neutral or mixed emotional state can be inferred,mean
99,2017-En-30462,Your lion's heart\nWill protect you under stormy skies\nAnd I will always be listening for your laughter and your tears,valence,1: slightly positive emotional state can be inferred,lion heart nwill protect stormy sky nand always listen laughter tear
100,2017-En-31341,Lets get this Astros/A's game going already!  We're going to need all 5 of you in attendance to cheer the A's to victory!,valence,0: neutral or mixed emotional state can be inferred,let get astros game go already weare go need attendance cheer victory
101,2017-En-31238,Well that was exhilarating. I didn't know you could have goosebumps for 2 hrs 5m straight.,valence,2: moderately positive emotional state can be inferred,well exhilarate didnot know could goosebump hr straight
102,2017-En-31440,Bet pawpaw is having a good time rejoicing up in heaven for his first birthday there!,valence,0: neutral or mixed emotional state can be inferred,bet pawpaw good time rejoice heaven first birthday
103,2017-En-31466,Vincent looking super lively boy... Hattrick perhaps lol,valence,1: slightly positive emotional state can be inferred,vincent look super lively boy hattrick perhaps lol
104,2017-En-40080,in health we did a think about depression and now i feel like i have it,valence,-2: moderately negative emotional state can be inferred,health think depression feel like
105,2017-En-10339,@Thebeast_ufc what happened to the suicide tweet it was a joke obviously how could that offend anyone?🤔,valence,-1: slightly negative emotional state can be inferred,happen suicide tweet joke obviously could offend anyone
106,2017-En-11026,I HATE little girls 😡😡 got a lot off growing up to do!!! #fuming,valence,-3: very negative emotional state can be inferred,hate little girl get lot grow
107,2017-En-21272,@JamesPiotr I am working on a feature right now about the preponderance of awful owners who are at war with fans. So many to choose from.,valence,-2: moderately negative emotional state can be inferred,work feature right preponderance awful owner war fan many choose
108,2017-En-31494,"It take so little to make a child's life joyful, why do we work so hard to make their lives hell? @MiddleEastEye Peace",valence,0: neutral or mixed emotional state can be inferred,take little make child life joyful work hard make life hell peace
109,2017-En-30228,Omg I'm outside making beats with garageband and some little birds  decided to chirp along （≧∇≦）,valence,0: neutral or mixed emotional state can be inferred,omg iam outside make beat garageband little bird decide chirp along
110,2017-En-40273,@DoubleEph sadly his best days are behind him,valence,-2: moderately negative emotional state can be inferred,sadly best day behind
111,2017-En-20423,@zavvi @zavvihelp only offering 6 moth warranty #ps4pro #shocking #truth #ripoff,valence,-2: moderately negative emotional state can be inferred,offer moth warranty
112,2017-En-31263,"Ok, it seems there is still hope in BSNL 🙂\nNow, BB speed is ok 🙂\nBut I won't thank and elate much lest it be gone again like before 😐🙂",valence,0: neutral or mixed emotional state can be inferred,ok seem still hope bsnl nnow bb speed ok nbut wonot thank elate much lest go like
113,2017-En-30220,chirp chirp! what a beautiful white and red bird! 🐦,valence,1: slightly positive emotional state can be inferred,chirp chirp beautiful white red bird
114,2017-En-30616,@Blancalanka96 thought it'd be fun and it is not fun but on the bright side I don't have to fight for parking,valence,0: neutral or mixed emotional state can be inferred,thought itwould fun not fun bright side donot fight park
115,2017-En-41395,It's been 5 weeks and I still go through depression smh,valence,-3: very negative emotional state can be inferred,week still go depression smh
116,2017-En-10206,@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage,valence,-3: very negative emotional state can be inferred,huh sprint coach weare slowest team comp talk rob living
117,2017-En-30722,"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. ",valence,0: neutral or mixed emotional state can be inferred,wish really truly wish modicum banter
118,2017-En-30295,Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife #smile #love #hardworkpaysoff #fun,valence,3: very positive emotional state can be inferred,use smile change world donot let world change smile
119,2017-En-40964,One point: DSP claims YTers lost half their viewership in 2012 if they weren't using direct capture. That's when the search changes happened,valence,0: neutral or mixed emotional state can be inferred,one point dsp claim yters lose half viewership werenot use direct capture search change happen
120,2017-En-30744,.@POTUS Obama describes his temperament as 'steady &amp; on the buoyant side.',valence,-2: moderately negative emotional state can be inferred,obama describe temperament teady amp buoyant side
121,2017-En-30377,- the joyous occasion of laughing at the ostentatious display of disrespect. Bruce just scoffed at the entire scene. This wasn't Batman’s -,valence,0: neutral or mixed emotional state can be inferred,joyous occasion laugh ostentatious display disrespect bruce scoff entire scene wasnot batman
122,2017-En-30188,The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,valence,3: very positive emotional state can be inferred,current run superman continue delight feel love pour everone creative team
123,2017-En-31519,Come to the @BullSkitComedy FUNdraiser this Fri. at 8pm @TheScottBlock. Because #pie + #face = !,valence,1: slightly positive emotional state can be inferred,come fundraiser fri pm
124,2017-En-21027,"@washingtondc @NMAAHC That is Noah Ark, it's a terrific design.",valence,0: neutral or mixed emotional state can be inferred,noah ark terrific design
125,2017-En-30276,I'm a cheery ghost.,valence,1: slightly positive emotional state can be inferred,iam cheery ghost
126,2017-En-31326,did you know that the sparkling letters in Super Mario Galaxy spell out U R MR GAY,valence,0: neutral or mixed emotional state can be inferred,know sparkle letter super mario galaxy spell u r mr gay
127,2017-En-11505,@Markk1872  Red heads are more fiery.,valence,0: neutral or mixed emotional state can be inferred,red head fiery
128,2017-En-21020,Solid starts by #Bozzelli and #BenEvans. Hoping for a good #start !,valence,2: moderately positive emotional state can be inferred,solid start hop good
129,2017-En-30426,Relive Vegas' heyday with Rat Pack tribute,valence,0: neutral or mixed emotional state can be inferred,relive vega heyday rat pack tribute
130,2017-En-10507,"@fleetstreetfox It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you #Psychowasp",valence,0: neutral or mixed emotional state can be inferred,buzz pathetically sympathy let twirl moustache chuckle sting
131,2017-En-20140,Job interview in the afternoon  #ek,valence,0: neutral or mixed emotional state can be inferred,job interview afternoon
132,2017-En-31363,"Today I answered a call from a college rep who didn't realize I did, and I got to hear part of his lively debate about if evolution is real.",valence,0: neutral or mixed emotional state can be inferred,today answer call college rep didnot realize get hear part lively debate evolution real
133,2017-En-30417,I've got some new pens to break in. Name an animated series and I'll draw you in that style 🖍,valence,1: slightly positive emotional state can be inferred,ihave get new pen break name animated series iwill draw style
134,2017-En-10395,"If I spend more than £10 in shimmy on £1 drinks I'll be raging, but we all know it's gonna happen",valence,-2: moderately negative emotional state can be inferred,spend p shimmy p drink iwill rag know gonna happen
135,2017-En-30956,#terribledebatequestions has given me so many laughs this afternoon! Thanks Twitter!  #cleverpeople,valence,3: very positive emotional state can be inferred,give many laugh afternoon thanks twitter
136,2017-En-30393,Just now we were rejoicing that we finally won a match the draw just revealed that we are facing city next. This life sef,valence,-1: slightly negative emotional state can be inferred,rejoice finally win match draw reveal face city next life sef
137,2017-En-30265,I thought I got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious,valence,1: slightly positive emotional state can be inferred,think get mad anything bf get mad little thing lmfao shit hilarious
138,2017-En-22155,I seriously hope these chances Celtic are missing are going to come back to haunt them with an Alloa sucker punch,valence,-1: slightly negative emotional state can be inferred,seriously hope chance celtic miss go come back haunt alloa sucker punch
139,2017-En-41293,i cant live anymore my roblox got termianted :(((((((((((((((((((((((( #sad #killme #lol #robloxgamer,valence,-3: very negative emotional state can be inferred,cant live anymore roblox get termianted
140,2017-En-31381,@Ginger_Naylor *Connie came back in* Hey you seem a bit more lively,valence,0: neutral or mixed emotional state can be inferred,connie come back hey seem bit lively
141,2017-En-20118,in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,valence,-2: moderately negative emotional state can be inferred,dream try steal kidney
142,2017-En-20618,Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding .,valence,-2: moderately negative emotional state can be inferred,obama admin reject texas plan refugee vet terrorism texas pull fed refugee resettlement program aiding
143,2017-En-10907,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,valence,-2: moderately negative emotional state can be inferred,join sort hufflepuff
144,2017-En-31432,Impractical Jokers...practically genius!!!  @BQQuinn #laughter #good4thesoul #ImpracticalJokers #bingewatching,valence,2: moderately positive emotional state can be inferred,impractical joker practically genius
145,2017-En-21015,#nana 4 hoco bc my dream since freshman year awe 😙❤❤❤ @thecandeyman,valence,2: moderately positive emotional state can be inferred,hoco bc dream since freshman year awe
146,2017-En-30678,@crumpledlinen he chirp,valence,0: neutral or mixed emotional state can be inferred,chirp
147,2017-En-41196,The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days,valence,0: neutral or mixed emotional state can be inferred,ghost stefano reflect grim indignity murder corrupt cop faux love
148,2017-En-30485,"Just like there is a right way to pray, there is a right way to give - not grudgingly or of necessity, but cheerfully. #woficc",valence,0: neutral or mixed emotional state can be inferred,like right way pray right way give not grudgingly necessity cheerfully
149,2017-En-10405,Guy across from me in a really ugly suit cannot stop expressing his displeasure,valence,-3: very negative emotional state can be inferred,guy across really ugly suit cannot stop express displeasure
150,2017-En-30749,f breezy,valence,1: slightly positive emotional state can be inferred,f breezy
151,2017-En-30795,Turns out 'it' wasn't even anything to be concerned about at all. Im happy and a bit frustrated it took so long to get this answer.,valence,0: neutral or mixed emotional state can be inferred,turn wasnot even anything concern im happy bit frustrated take long get answer
152,2017-En-41198,Bojack Horseman: the saddest show ever written?? #depression #season1,valence,-3: very negative emotional state can be inferred,bojack horseman saddest show ever write
153,2017-En-31596,"Dehydrated, exhausted, stressed but still blessed. ",valence,0: neutral or mixed emotional state can be inferred,dehydrate exhaust stressed still bless
154,2017-En-31426,"I want my highlight to be so bright that if I ever get lost and someone is looking for me in the dark, they'll find me.",valence,0: neutral or mixed emotional state can be inferred,want highlight bright ever get lose someone look dark theywill find
155,2017-En-31479,#Appreciate what you have &amp; enjoy your life. \nUse your #smile 😃 to help others use theirs. ☺️,valence,2: moderately positive emotional state can be inferred,amp enjoy life nuse help others use
156,2017-En-30241,What if.... the Metro LRT went over the Walterdale?!?! 😂 #yeg ,valence,1: slightly positive emotional state can be inferred,metro lrt go walterdale
157,2017-En-31123,@cedricyarbrough We love you! #hilarious   We are looking forward to SO much more!  #kudos on the #pilot @Speechless_ABC #speechless,valence,3: very positive emotional state can be inferred,love look forward much
158,2017-En-30708,A former diplomat is quite gleeful about the situation of Pakistan on @TimesNow\nNot quite stiff upper lip of diplomacy seen normally,valence,-2: moderately negative emotional state can be inferred,former diplomat quite gleeful situation pakistan nnot quite stiff upper lip diplomacy see normally
159,2017-En-41041,Sigh. I got a B- .. #depressing,valence,-3: very negative emotional state can be inferred,sigh get b
160,2017-En-30347,"@yoursecretsub1 Trust me dear, if you want to make anything invisible, hang a wet paint on it, and hilarity will ensue.",valence,1: slightly positive emotional state can be inferred,trust dear want make anything invisible hang wet paint hilarity ensue
161,2017-En-31615,Asked one thing from our guys tonight and got it! #happy #proud #disappointed - THAT IS FOOTBALL #timetoclimbthetable,valence,0: neutral or mixed emotional state can be inferred,ask one thing guy tonight get football
162,2017-En-30865,"When we give cheerfully and accept gratefully, everyone is blessed. »Maya Angelou",valence,2: moderately positive emotional state can be inferred,give cheerfully accept gratefully everyone bless maya angelou
